wilhelmsteich,52.4641794182641,13.382782879775196,pond,0.1698,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
francketeich,52.461005769239904,13.389766685584195,pond,0.0461,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
hambuttenpfuhl,52.450291770352635,13.35328012217782,pond,0.2908,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
buckower dorfteich,52.42231819154544,13.431885411989724,pond,0.2437,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
torfstich,52.582709637686314,13.488348337567148,pond,0.2253,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
pilzteich,52.643430850983776,13.303014001706904,pond,0.1496,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
weißer see,52.55420419415144,13.463586704802877,lake,8.154,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
weltenmeer,52.47498185418023,13.44196202087084,pond,0.0047,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
griebnitzsee,52.40109706889277,13.122555274321437,lake,56.9931,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
teich an der sensburger allee,52.51114444568056,13.251844108463184,lake,0.0841,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
olmteich,52.43476062964229,13.565916219165771,pond,0.0534,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
amselteich,52.63545863909898,13.281985833223288,pond,0.0933,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
stolzingteich,52.63599615971624,13.277215690539466,pond,0.0634,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
eckernpfuhl,52.44125578239011,13.394039616345207,pond,0.4023,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
erlengrabenteich,52.61512345814857,13.221743371377176,pond,0.6714,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
vierling,52.446136047641794,13.238341276243656,pond,0.3924,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
hamburger teich,52.56739012735381,13.445441953140987,pond,0.1725,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
karutschenpfuhl,52.45154479433238,13.352636725639467,pond,0.2959,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
huttenteich,52.46951259118534,13.23882174840547,pond,0.0312,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
hufeisenteich,52.448227022200264,13.448613308770833,pond,0.1394,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
goldfischteich,52.55494280905216,13.456595441788634,pond,0.1649,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
kreuzpfuhl,52.55297872780509,13.452744771397406,pond,0.6913,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
furstenteich,52.63182107947684,13.298535548347258,pond,0.0355,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
kleiner muggelsee,52.42971436163596,13.676172173180538,lake,11.7942,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
blanke helle,52.45921822913875,13.36929366617623,pond,0.3509,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
kattenpfuhl,52.41743541561234,13.501131254149149,pond,0.4189,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
kiessee,52.42297150497401,13.52048443768113,pond,424.0,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
nikolassee,52.424096923684246,13.192368973086964,lake,5.8966,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
elsensee,52.49869322465134,13.60202879108016,lake,11.4847,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
railroad pond,41.630830909395215,-72.77227821839506,lake,11.421,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
holmes pond,41.62937051931771,-72.75559449768001,pond,1.3344,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
roetepfuhl britz,52.441534987127845,13.427840622922089,pond,0.2002,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
seerosenteich,52.518145647360775,13.351709936245218,pond,0.0886,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
dominikusteich,52.62176996756455,13.29459981043501,pond,0.1479,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
kleiner rohrpfuhl,52.41004184949291,13.491611914203546,pond,0.1429,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
wilhelmsruher see,52.58425600045801,13.370021916089588,pond,0.8099,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
großer rohrpfuhl,52.41097437407379,13.49319874812551,pond,0.6031,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
theodosiusteich,52.44029691909661,13.35664839639846,pond,0.0497,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
blumelteich,52.44270005505095,13.388824707827968,pond,1.3147,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
dillgesteich,52.44219327576477,13.3889363630577,pond,0.0925,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
kleiner teich,52.44198994400436,13.390142926585533,pond,0.0767,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
großer karpfenpfuhl,52.43882245542607,13.404093115370337,pond,0.1805,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
