id,name,brand,operator,address,latitude,longitude,district,district_id,neighborhood,neighborhood_id,opening_hours,car_wash,compressed_air,wheelchair,fuel:diesel,fuel:octane_95,geometry_wkt
1254306707,Innogy,Innogy,Innogy,,52.5242832,13.4214658,Mitte,11001001,Mitte,0101,24/7,,,,,,POINT (13.421466 52.524283)
1256825689,unknown gas station,,RWE-Effizienz,,52.5203502,13.3456778,Mitte,11001001,Hansaviertel,0103,,,,,,,POINT (13.345678 52.52035)
1272542302,Innogy,Innogy,Innogy,,52.4822945,13.3572887,Tempelhof-Schöneberg,11007007,Schöneberg,0701,,,,,,,POINT (13.357289 52.482294)
1272542304,Innogy,Innogy,Innogy,,52.5077924,13.3490613,Mitte,11001001,Tiergarten,0104,,,,,,,POINT (13.349061 52.507792)
1272542305,Innogy,Innogy,Innogy,,52.5040992,13.3530258,Mitte,11001001,Tiergarten,0104,24/7,,,,,,POINT (13.353026 52.504099)
1272542307,Innogy,Innogy,Innogy,,52.4932386,13.315155,Charlottenburg-Wilmersdorf,11004004,Wilmersdorf,0402,,,,,,,POINT (13.315155 52.493239)
1272542308,unknown gas station,,RWE-Effizienz,,52.5189122,13.2957182,Charlottenburg-Wilmersdorf,11004004,Charlottenburg,0401,,,,,,,POINT (13.295718 52.518912)
1272542309,Innogy,Innogy,Innogy,,52.5166568,13.3093935,Charlottenburg-Wilmersdorf,11004004,Charlottenburg,0401,,,,,,,POINT (13.309394 52.516657)
1272542310,Innogy,Innogy,Innogy,,52.5052849,13.3277305,Charlottenburg-Wilmersdorf,11004004,Charlottenburg,0401,,,,,,,POINT (13.32773 52.505285)
1272542311,unknown gas station,,RWE-Effizienz,,52.5129619,13.3296903,Charlottenburg-Wilmersdorf,11004004,Charlottenburg,0401,,,,,,,POINT (13.32969 52.512962)
1272843199,unknown gas station,,RWE-Effizienz,,52.5357727,13.4049979,Mitte,11001001,Mitte,0101,,,,,,,POINT (13.404998 52.535773)
1272843200,Innogy,Innogy,Innogy,,52.5106964,13.373005,Mitte,11001001,Tiergarten,0104,,,,yes,,,POINT (13.373005 52.510696)
1272843201,unknown gas station,,RWE-Effizienz,,52.5194446,13.4163073,Mitte,11001001,Mitte,0101,,,,,,,POINT (13.416307 52.519445)
1272843202,unknown gas station,,RWE-Effizienz,,52.5232019,13.3623286,Mitte,11001001,Moabit,0102,,,,,,,POINT (13.362329 52.523202)
1272843203,e.on,e.on,E.ON,,52.5359212,13.368906,Mitte,11001001,Mitte,0101,24/7,,,,,,POINT (13.368906 52.535921)
1272843204,unknown gas station,,RWE-Effizienz,,52.5177552,13.4172844,Mitte,11001001,Mitte,0101,,,,,,,POINT (13.417284 52.517755)
1272843208,Innogy,Innogy,Innogy,,52.5158333,13.4104844,Mitte,11001001,Mitte,0101,,,,,,,POINT (13.410484 52.515833)
1272843210,Innogy,Innogy,Innogy,,52.5291161,13.3958905,Mitte,11001001,Mitte,0101,24/7,,,limited,,,POINT (13.39589 52.529116)
1272843213,Innogy,Innogy,Innogy,,52.5343904,13.395779,Mitte,11001001,Mitte,0101,,,,,,,POINT (13.395779 52.53439)
1272843214,unknown gas station,,RWE-Effizienz,,52.5194901,13.4162781,Mitte,11001001,Mitte,0101,,,,,,,POINT (13.416278 52.51949)
1272843215,Innogy,Innogy,Innogy,,52.5156102,13.3897356,Mitte,11001001,Mitte,0101,,,,,,,POINT (13.389736 52.51561)
1530453608,unknown gas station,E.ON Drive,E.ON,,52.5338804,13.4031415,Mitte,11001001,Mitte,0101,24/7,,,no,,,POINT (13.403142 52.53388)
1605143588,Vattenfall Ladesäule,,Vattenfall,,52.5076258,13.3284141,Charlottenburg-Wilmersdorf,11004004,Charlottenburg,0401,,,,,,,POINT (13.328414 52.507626)
1800765521,unknown gas station,,RWE-Effizienz,,52.4751236,13.3236889,Tempelhof-Schöneberg,11007007,Friedenau,0702,,,,,,,POINT (13.323689 52.475124)
1808988262,Innogy,Innogy,Innogy,,52.4840615,13.4435393,Neukölln,11008008,Neukölln,0801,24/7,,,limited,,,POINT (13.443539 52.484062)
1813041526,RWE Autostrom,Innogy,Innogy,,52.5050191,13.343491,Mitte,11001001,Tiergarten,0104,,,,,,,POINT (13.343491 52.505019)
1863169238,Innogy,Innogy,Innogy,,52.5109131,13.5877711,Marzahn-Hellersdorf,11010010,Kaulsdorf,1003,,,,,,,POINT (13.587771 52.510913)
