id,name,artwork_type,artist_name,street,neighborhood_id,district_id,postal_code,material,start_date,image,wikidata,wikimedia_commons,latitude,longitude
13244317353,der steinhändler,sculpture,alexander polzin,,0307,11003003,,granite,,,,,52.5684356,13.4121396
13254184467,kleist-museum,sculpture,,,0909,11009009,,,,,,,52.4673822,13.5272584
13254184468,brandenburger tor,sculpture,,,0909,11009009,,,,,,,52.4676229,13.5278896
13254184469,burg rabenstein,sculpture,,,0909,11009009,,,,,,,52.4681157,13.5275953
13254184470,steintorturm,sculpture,,,0909,11009009,,,,,,,52.4681224,13.5278509
13254184471,siegessäule,sculpture,,,0909,11009009,,,,,,,52.4676801,13.5279534
13254184472,gatower mühle,sculpture,,,0909,11009009,,,,,,,52.4677863,13.5281219
13254184473,wehrkirche & kampehler schloss,sculpture,,,0909,11009009,,,,,,,52.4674729,13.5284277
13254184474,stiftskirche,sculpture,,,0909,11009009,,,,,,,52.4677229,13.5281915
13254184475,st. nikolai-kirche,sculpture,,,0909,11009009,,,,,,,52.467543,13.5281853
13254184476,kyritz,sculpture,,,0909,11009009,,,,,,,52.4675026,13.5283849
13254184477,uhrenturm wittenberge,sculpture,,,0909,11009009,,,,,,,52.4674194,13.5286555
13254184478,dorfkate,sculpture,,,0909,11009009,,,,,,,52.4673524,13.5277375
13254184479,mies van der rohe haus,sculpture,,,0909,11009009,,,,,,,52.4673574,13.5277806
13254184480,dannenwald/zehdenick,sculpture,,,0909,11009009,,,,,,,52.4671966,13.5280237
13254184481,borsigturm & borsigtor,sculpture,,,0909,11009009,,,,,,,52.467426,13.5279805
13254184482,kulturkirche,sculpture,,,0909,11009009,,,,,,,52.4673639,13.5281507
13254184483,sechserbrücke,sculpture,,,0909,11009009,,,,,,,52.46755,13.5280944
13254184484,schinkelkirche,sculpture,,,0909,11009009,,,,,,,52.4673843,13.5283571
13254184485,hi-flyer ballon,sculpture,,,0909,11009009,,,,,,,52.467675,13.5276999
13254184486,dorfkirche fretzdorf,sculpture,,,0909,11009009,,,,,,,52.4673086,13.528437
13254184487,wittstock / dosse & umgebung,sculpture,,,0909,11009009,,,,,,,52.467261,13.5285698
13254184488,fachwerkkirche kreuzburg,sculpture,,,0909,11009009,,,,,,,52.4673787,13.528593
13254184489,neue kommandatur,sculpture,,,0909,11009009,,,,,,,52.4675837,13.5278273
13254184490,rathaus lichtenberg,sculpture,,,0909,11009009,,,,,,,52.4674393,13.527584
13254184491,archenhold sternwarte,sculpture,,,0909,11009009,,,,,,,52.4675861,13.5276737
13254184492,dorfkirche stralau,sculpture,,,0909,11009009,,,,,,,52.4675939,13.5276075
13254184493,kiezspinne fas,sculpture,,,0909,11009009,,,,,,,52.467535,13.5275339
