id,name,category,lat,lon,geometry,district,district_id,neighborhood,neighborhood_id,website,wheelchair
12350943031,Unknown,viewpoint,52.442843,13.1778648,POINT (13.1778648 52.442843),Steglitz-Zehlendorf,11006006,Nikolassee,0606,,
12350955503,Unknown,viewpoint,52.4580252,13.1906612,POINT (13.1906612 52.4580252),Steglitz-Zehlendorf,11006006,Nikolassee,0606,,
12351382458,Friedrich Rehmer,memorial,52.4855318,13.4477843,POINT (13.4477843 52.4855318),Neukölln,11008008,Neukölln,0801,https://www.stolpersteine-berlin.de/de/harzer-str/33/friedrich-rehmer,
12351382459,Erwin Berner,memorial,52.4739709,13.4553211,POINT (13.4553211 52.4739709),Neukölln,11008008,Neukölln,0801,https://www.stolpersteine-berlin.de/de/sonnenallee/216/erwin-berner,
12351382460,Anton Grylewicz,memorial,52.4743889,13.4526954,POINT (13.4526954 52.4743889),Neukölln,11008008,Neukölln,0801,https://www.stolpersteine-berlin.de/de/brusendorfer-strasse/23/anton-grylewicz,
12351382461,Anna-Maria Grylewicz,memorial,52.4743908,13.4526912,POINT (13.4526912 52.4743908),Neukölln,11008008,Neukölln,0801,https://www.stolpersteine-berlin.de/de/brusendorfer-strasse/23/anna-maria-grylewicz,
12351382462,Eveline Jacobowitz,memorial,52.4805704,13.4404633,POINT (13.4404633 52.4805704),Neukölln,11008008,Neukölln,0801,https://www.stolpersteine-berlin.de/de/anzengruberstrasse/10/eveline-jacobowitz,
12351382463,Kurt Jacobowitz,memorial,52.4805693,13.440465,POINT (13.440465 52.4805693),Neukölln,11008008,Neukölln,0801,https://www.stolpersteine-berlin.de/de/anzengruberstrasse/10/kurt-jacobowitz,
12351382464,Ida Jacobowitz,memorial,52.4805689,13.4404629,POINT (13.4404629 52.4805689),Neukölln,11008008,Neukölln,0801,https://www.stolpersteine-berlin.de/de/anzengruberstrasse/10/ida-jacobowitz,
12351382465,Johanna Jacobowitz,memorial,52.4805676,13.4404635,POINT (13.4404635 52.4805676),Neukölln,11008008,Neukölln,0801,https://www.stolpersteine-berlin.de/de/anzengruberstrasse/10/johanna-jacobowitz,
12351382466,Samuel Itzig,memorial,52.4831733,13.4316935,POINT (13.4316935 52.4831733),Neukölln,11008008,Neukölln,0801,https://www.stolpersteine-berlin.de/de/karl-marx-strasse/55/samuel-itzig,
